Rank,CAD,Score (lower is better),Eigenvalues,Status
255,792430,4.8342,"0.1023, 0.0232, 0.0025",
256,8111165,4.8737,"0.0090, 0.0059, 0.0025",
257,8111167,4.8761,"0.0090, 0.0059, 0.0025",
258,792161,5.1401,"0.0110, 0.0105, 0.0026",
259,793970,5.3991,"0.3738, 0.0846, 0.0003",
260,785150,5.4151,"0.0403, 0.0357, 0.0027",
261,774935,5.5813,"0.0138, 0.0073, 0.0028",
262,775262,5.6374,"0.0112, 0.0100, 0.0028",
263,788698,5.7624,"0.0115, 0.0106, 0.0029",
264,793999,6.0235,"0.0650, 0.0254, 0.0030",
265,8111520,6.1282,"0.1695, 0.1550, 0.0023",
266,772132,6.5812,"0.0203, 0.0141, 0.0032",
267,780279,6.8314,"0.1240, 0.0090, 0.0033",
268,8126425,7.0600,"0.0198, 0.0089, 0.0034",
269,8125655,7.0601,"0.0199, 0.0089, 0.0034",
270,8143504,7.0803,"0.0200, 0.0089, 0.0034",
271,8149518,7.0872,"0.0200, 0.0089, 0.0034",
272,783596,7.0972,"0.0201, 0.0090, 0.0034",
273,766858,7.1618,"0.3938, 0.0298, 0.0024",
274,8092992,7.5150,"0.0210, 0.0150, 0.0036",
275,8179631,7.5274,"0.0667, 0.0424, 0.0037",
276,794008,8.1548,"0.0334, 0.0161, 0.0039",
277,778632,8.8544,"0.1374, 0.0463, 0.0042",
278,785169,9.2052,"0.0352, 0.0121, 0.0044",
279,788926,9.8552,"0.1054, 0.0748, 0.0046",
280,8114863,9.8667,"0.0056, 0.0046, 0.0046",
281,8179609,11.2241,"0.0509, 0.0433, 0.0052",
282,794516,11.2362,"0.0076, 0.0061, 0.0052",
283,8104983,11.6564,"0.1076, 0.0191, 0.0054",
284,787913,11.6642,"0.0256, 0.0238, 0.0054",
285,8172410,14.2478,"0.0306, 0.0274, 0.0065",
286,776572,14.2526,"0.1024, 0.0150, 0.0065",
287,8092901,14.5184,"0.0385, 0.0075, 0.0066",
288,772144,15.0926,"0.0367, 0.0154, 0.0069",
289,785173,15.2732,"0.0373, 0.0145, 0.0070",
290,8088959,16.0866,"0.0148, 0.0139, 0.0073",
291,781831,16.1645,"0.0265, 0.0221, 0.0074",
292,768552,17.4843,"0.0149, 0.0087, 0.0079",
293,783854,18.1409,"0.0858, 0.0412, 0.0082",
294,8181354,18.2642,"0.0146, 0.0085, 0.0083",
295,793778,19.8213,"0.3585, 0.0234, 0.0087",
296,777155,20.3548,"0.0261, 0.0211, 0.0092",
297,793889,20.4784,"0.2475, 0.0230, 0.0091",
298,785159,20.8754,"0.0351, 0.0181, 0.0094",
299,788786,20.8779,"0.0235, 0.0233, 0.0094",
300,771612,22.5107,"0.0418, 0.0229, 0.0101",
301,771615,22.5570,"0.0419, 0.0227, 0.0101",
302,784856,24.6316,"0.0235, 0.0222, 0.0110",
303,8104629,29.1040,"0.1643, 0.0590, 0.0129",
304,785682,31.3624,"0.0558, 0.0415, 0.0139",
305,794863,32.9680,"0.0491, 0.0397, 0.0146",
306,794864,33.2260,"0.0491, 0.0397, 0.0147",
307,787761,33.2448,"0.0919, 0.0468, 0.0147",
308,783475,35.9823,"0.0785, 0.0510, 0.0159",
309,781070,36.2385,"0.0622, 0.0271, 0.0160",
310,781071,37.3180,"0.0626, 0.0433, 0.0164",
311,771742,37.7080,"0.0232, 0.0218, 0.0166",
312,8111409,43.2009,"0.0897, 0.0692, 0.0190",
313,785185,68.2981,"0.0460, 0.0449, 0.0297",
314,785184,70.1095,"0.0524, 0.0478, 0.0305",
