scan,coarse_processing_time,coarse_rank,coarse_cum_error,fine_processing_time,fine_rank,fine_fitness,fine_rmse,fine_nb_inliers_correspondence_set
794864.ply,0.10195350646972656,2.0,0.35943071734319265,18.69233202934265,3.0,0.644,0.011728930917560445,386
794870.ply,0.16916179656982422,8.0,0.490060436706841,36.06620812416077,3.0,0.8896666666666667,0.010366969729293112,484
794871.ply,0.10227680206298828,2.0,0.26513570259541186,34.81206679344177,1.0,0.92,0.010704165714852687,378
798351.ply,0.09155607223510742,10.0,0.9858163141715837,5.138580560684204,7.0,1.0,0.001423416725876824,2010
798475.ply,0.07153701782226562,15.0,0.7402014316805781,36.31435751914978,1.0,0.951,0.008946905121040289,336
798480.ply,0.08903980255126953,155.0,2.1352881508288477,12.061612129211426,,,,268
798512.ply,0.12080669403076172,5.0,0.8980999437941408,5.799230337142944,4.0,1.0,0.0014696240211790528,1886
8063088.ply,0.09266901016235352,1.0,0.7281403604628534,2.076451539993286,1.0,0.9996666666666667,0.0020223533673989925,2309
8063089.ply,0.1007993221282959,1.0,0.6484417949208932,1.8954880237579346,1.0,1.0,0.0028198614224354797,2755
8087967.ply,0.08381104469299316,1.0,0.23794482099255143,14.261866092681885,1.0,0.884,0.008921580171416022,245
8088206.ply,0.08112788200378418,1.0,0.4009016012710635,9.773104429244995,2.0,0.979,0.007893886973403463,838
8088959.ply,0.07358479499816895,13.0,0.7039186594393206,30.469423055648804,1.0,0.896,0.009744529216756673,349
8089434.ply,0.08342146873474121,9.0,0.3731746214170478,32.52372860908508,1.0,1.0,0.006026277862420435,896
8091304.ply,0.0852813720703125,18.0,1.0824809241882747,5.361526250839233,,,,582
8091592.ply,0.08080530166625977,2.0,0.7587539512667574,7.521601676940918,1.0,0.75,0.010863983293457672,407
8091602.ply,0.07520127296447754,1.0,0.31697774474592494,13.477477788925171,1.0,0.993,0.009901992007688433,470
8091607.ply,0.09070754051208496,10.0,0.7255781850750501,13.195942163467407,7.0,0.834,0.009738731353934986,407
8091936.ply,0.09088706970214844,6.0,0.42970382499480647,33.03370428085327,1.0,1.0,0.006763297366964751,674
8092171.ply,0.13321208953857422,3.0,0.9654796798599208,0.7709963321685791,3.0,1.0,0.0011046190349582393,3000
8092190.ply,0.1251387596130371,4.0,0.9473783664870197,1.2302377223968506,2.0,1.0,0.0011671284984266725,2653
8092284.ply,0.0714564323425293,4.0,0.28406047855341926,29.3620343208313,1.0,1.0,0.0041213678409024665,846
8092901.ply,0.08460736274719238,1.0,0.33867460994419163,12.592591047286987,2.0,0.88,0.011072381166001188,374
8092992.ply,0.12214803695678711,200.0,2.344762518495756,24.709267139434814,,,,458
8093118.ply,0.09048318862915039,20.0,1.6509225582106721,1.5061707496643066,,,,2899
8093316.ply,0.08112740516662598,13.0,0.9814300647860628,8.10327434539795,4.0,0.9623333333333334,0.00621684173318843,486
8093514.ply,0.08787989616394043,6.0,0.4303559277423084,30.618643045425415,1.0,0.9653333333333334,0.007429275266239478,544
8094080.ply,0.10589599609375,45.0,1.153430645768872,20.68063521385193,,,,639
8095189.ply,0.0945584774017334,3.0,0.7574936642465451,8.63818097114563,2.0,0.7666666666666667,0.01075342086504823,395
8095212.ply,0.08560490608215332,2.0,0.5731894140456137,19.577253818511963,1.0,0.7866666666666666,0.010970513712691983,327
8095941.ply,0.0850989818572998,1.0,0.42495592484927364,4.390021800994873,1.0,1.0,0.004171111010471678,2288
8096342.ply,0.09438467025756836,1.0,0.33176055695566137,14.911388874053955,1.0,0.97,0.011250265806172798,525
8098446.ply,0.08929085731506348,1.0,0.22053615999090134,2.95778751373291,1.0,1.0,0.0024289751428380577,2630
8100966.ply,0.07739853858947754,1.0,0.7840087106895413,5.07261848449707,3.0,0.9806666666666667,0.00578961017789034,1042
8100969.ply,0.10217475891113281,3.0,0.3287477552498399,11.039987325668335,2.0,1.0,0.005582858112044813,402
8100975.ply,0.17448782920837402,2.0,0.5293584534043766,13.564714908599854,1.0,1.0,0.005847945255456903,686
8101572.ply,0.1221168041229248,7.0,0.9858863823701258,3.2494781017303467,5.0,0.9556666666666667,0.0052556639101552245,1359
8103576.ply,0.07188582420349121,3.0,0.43011016394347146,15.090333223342896,2.0,1.0,0.004355594490311951,916
8103578.ply,0.12442731857299805,8.0,0.5539122037912247,26.131911039352417,3.0,0.9843333333333333,0.007370473029095929,1031
8104626.ply,0.08710145950317383,2.0,0.542424279797387,9.55023455619812,1.0,0.8526666666666667,0.011556653750043732,524
8104629.ply,0.08629822731018066,1.0,0.3966361545907843,9.658267736434937,1.0,0.653,0.01207766462602676,535
8104983.ply,0.09873795509338379,1.0,0.30767104427339315,14.063323974609375,1.0,0.8073333333333333,0.01280863075399318,164
8105335.ply,0.0856163501739502,1.0,0.29871996273321566,11.732395887374878,1.0,0.9056666666666666,0.009909968372742411,357
8111161.ply,0.07117176055908203,1.0,0.32641637572914367,36.04661989212036,1.0,0.9816666666666667,0.007623020336737676,677
8111165.ply,0.08623433113098145,8.0,0.4880892183302234,25.377352237701416,2.0,0.9366666666666666,0.00927382989827317,570
8111167.ply,0.12860822677612305,8.0,0.4880839990528641,25.562973737716675,1.0,0.9446666666666667,0.008578330179961161,643
8111409.ply,0.0839686393737793,1.0,0.2796699339793979,8.177141904830933,1.0,0.564,0.013126786339798812,199
